1	14		3,00 €						Neidhardt		4	Einkorn Körner	kg	1000	1	Neidhardt	1	0,000	0,00 €	0,929			2,938	inaktiv		
1	41		4,50 €						Lex		5	Tellerlinsen hellbraun	kg	1000	1	Lex	1	0,000	0,00 €	0,609			3,438	inaktiv		
1	5		1,90 €						Lex		6	Purpurweizen Körner	kg	1000	1	Lex	1	0,000	0,00 €	0,885			2,085	inaktiv		
1	122		2,70 €						Lex		7	Sojamehl vollfett	kg	1000	1	Lex	1	0,000	0,00 €	0,204			0,302	inaktiv		
1	22		2,14 €						Küchle		8	Waldstaudenroggen Körner	kg	1000	1	Küchle	1	0,000	0,00 €	0,516			1,541	inaktiv		
1	40		4,50 €						Lex		9	Belugalinsen	kg	1000	1	Lex	1	0,000	0,00 €	0,502			2,919	inaktiv		
1	80		3,30 €						Lex		10	Perldinkel Oberkulmer Rotkorn	kg	1000	1	Lex	1	0,000	0,00 €	0,660			2,153	inaktiv		
1	4		1,00 €			Weizen Körner (Capo)			Brandmair		11	Weizen Körner (Capo)	kg	1000	1	Brandmair	1	0,000	0,00 €	0,610			1,814	inaktiv		
	20	01.09.13	1,20 €			Roggen Körner (Danko)			Brandmair		12	Roggen Körner (Danko)	kg	1000	1	Brandmair	1	0,016	0,02 €	0,832			0,868	25.10.16	25.10.16	31.08.15
1	71		9,52 €						Bayr. Haselnussanbauverein		13	Haselnusskerne	kg	1000	1	Bayr. Haselnussanbauverein	1	0,000	0,00 €	1,785			4,697	inaktiv		
	73	01.12.15	5,57 €						Bayr. Haselnussanbauverein		14	Haselnüsse in der Schale	kg	1000	1	Bayr. Haselnussanbauverein	1	9,912	55,21 €	1,539			1,711	08.05.17	05.05.17	29.11.17
1	12		2,47 €						Chiemgaukorn		15	Emmer Körner	kg	1000	1	Chiemgaukorn	1	0,000	0,00 €	1,183			2,834	inaktiv		
1	26		1,50 €			Hafer (entspelzt) Körner			Chiemgaukorn		16	Hafer (entspelzt) Körner	kg	1000	1	Chiemgaukorn	1	0,000	0,00 €	1,337			20,097	inaktiv		
1	35		3,48 €						Chiemgaukorn		17	Buchweizen	kg	1000	1	Chiemgaukorn	1	0,000	0,00 €	1,345			3,745	inaktiv		
1	60		2,88 €						Chiemgaukorn		18	Leinsamen	kg	1000	1	Chiemgaukorn	1	0,000	0,00 €	0,218			0,559	inaktiv		
1	141		4,16 €						Chiemgaukorn		19	Vollkorn-Einkorn Spirelli	kg	1000	1	Chiemgaukorn	1	0,000	0,00 €	0,235			1,454	inaktiv		
1	95		2,85 €						Chiemgaukorn		20	Emmer Zentrofanmehl	kg	1000	1	Chiemgaukorn	1	0,000	0,00 €	0,197			1,084	inaktiv		
1	32		3,80 €						Lex		21	Braunhirse	kg	1000	1	Lex	1	0,000	0,00 €	0,233			0,779	inaktiv		
1	62		8,49 €						Schwab		22	Hanfsamen ungeschält	kg	1000	1	Schwab	1	0,000	0,00 €	0,236			0,489	inaktiv		
1	36		5,79 €						Schwab		23	Amarant	kg	1000	1	Schwab	1	0,000	0,00 €	0,331			0,381	inaktiv		
1	89		13,69 €						Schwab		24	Amarantpops	kg	1000	1	Schwab	1	0,000	0,00 €	0,100			0,618	inaktiv		
1	8		1,65 €						Penzl		25	Dinkel Oberkulmer Rotkorn Körner	kg	1000	1	Penzl	1	0,000	0,00 €	3,568			5,973	inaktiv		
1	21		1,50 €						Lex		26	Lichtkornroggen Körner	kg	1000	1	Lex	1	0,000	0,00 €	0,240			1,002	inaktiv		
	30	01.09.14	1,52 €						Lex		27	Speisemais Körner rot	kg	1000	1	Lex	1	8,710	13,24 €	0,827			0,936	10.09.17	10.08.17	30.08.16
