1	Sonnenblumenkerne	kg		2,65		5,300	4,90 €	25	4	12	0,212	254%	21,2	1	25		122,50 €	4,7	13	Jahrstorfer		1000
0	Sonnenblumenkerne X	kg						25	4	12												1000
1	Leinsamen	kg	0,559	2,2		0,559	2,72 €	25	4	12	0,0223554817	27%	2,2355481728	0	0	1	0,00 €	0,0	7	Chiemgaukorn		1000
0	Leinsamen X	kg						25	4	12												1000
1	Hanfsamen ungeschält	kg	0,489	0,9		0,489	12,00 €	4	2	12	0,1222066787	147%	0,9776534296	1	4		48,00 €	8,2	8	Schwab		1000
1	Hanfsamen geschält	kg	0,448	0,45		0,448	13,00 €	10	4	6	0,0448333333	27%	1,7933333333	0	0	1	0,00 €	0,0	0			1000
0	Hanfsamen X	kg						25	4	12												1000
1	Hanfsamenschalen	kg	1,136			1,136		25	4	12	0,0454285714	55%	4,5428571429	0	0	1	0	0,0				1000
1	Blaumohn	kg	1,269			1,269		25	4	12	0,0507698234	61%	5,0769823435	0	0	1	0	0,0				1000
0	Ölsaat Y	kg						25	4	12												1000
0	Ölsaat Z	kg						25	4	12												1000
1	Kürbiskerne	kg		2		4,000	10,00 €	10	5	12	0,4	480%	20	2	20		200,00 €	5,0	23	Schmid		1000
0	Kürbiskerne X	kg						25	4	12												1000
1	Haselnusskerne	kg	4,697	2,85		4,697	11,00 €	25	12	12	0,1878919708	225%	56,3675912409	2	50		550,00 €	10,6	9	Hartl		1000
0	Haselnuss X	kg						25	4	16												1000
1	Haselnüsse in der Schale	kg	1,711	0,2		1,711	7,00 €	25	12	24	0,0684408428	164%	20,5322528363	1	25		175,00 €	14,6	9	Hartl		1000
0	Walnusskerne	kg							4													1000
1	Walnüsse in der Schale	kg		3,7		7,400	7,00 €	1	4	17	7,4	12580%	29,6	30	30		210,00 €	4,1	0			1000
0	Nüsse X	kg							4													1000
0	Nüsse Y	kg							4													1000
0	Nüsse Z	kg							4													1000
0	Perlweizen	kg						10	4													1000
1	Perldinkel Oberkulmer Rotkorn	kg	2,153	2,9		2,153	3,30 €	10	3	24	0,21528739	517%	6,4586217009	1	10		33,00 €	4,6	4	Lex		1000
1	Perlemmer	kg	1,267	0,5		1,267	5,80 €	10	4	24	0,1267084691	304%	5,0683387622	1	10		58,00 €	7,9	7	Chiemgaukorn		1000
1	Perleinkorn	kg	1,360	0,5		1,360	5,80 €	10	4	24	0,1360306748	326%	5,4412269939	1	10		58,00 €	7,4	7	Chiemgaukorn		1000
1	Perlroggen	kg		0,8		1,600	2,90 €	10	3	24	0,16	384%	4,8	1	10		29,00 €	6,3	4	Lex		1000
0	Perlroggen X	kg						10	3										4	Lex		1000
0	Perlroggen Y	kg						10	4													1000
0	Perlgetreide X	kg						10	4													1000
0	Perlgetreide Y	kg						10	4													1000
0	Gerstengraupen	kg						10	4													1000
1	Amarantpops	kg	0,618	0,8		0,618	13,69 €	0,8	2	6	0,7724052347	463%	1,2358483755	2	1,6		21,90 €	2,6	8	Schwab		1000
1	Braunhirsepops	kg					13,25 €	0,6	2	6									8	Schwab		1000
0	Getreidepops Y	kg							4													1000
1	Weizen Zentrofanmehl	kg	1,608	3,7		1,608	2,30 €	2,5	3	4	0,6433320683	257%	4,8249905123	2	5		11,50 €	3,1	3	Tränkl		1000
